Question ID,Question,Answers
16,How do you prevent unwanted turnover (attrition)?,"There are many aspects we focus on, in order to retain our resources. First, it is important to provide the resources a clear planning and a fulltime schedule. They should work as many hours as possible, so the more the better. Second, they must be paid an equal and fair amount. Neverthless, we must ensure the payments are paid on time without a delay. If we keep the workers satisfied, they will not leave our company."
17,Please explain your company's overtime policy for temporary workers?,"We always monitor the worked hours of our temporary workers. In case the number of hours almost exceeds the maximum allowed number of hours by law (arbeidstijdenwet), our planning system will block. ""Arbeidstijdenwet"" is very complicated to summarize in this sheet. If Client  wants, we can send it separtely."
18,Define Client ’s role in the change management (including transition of services and implementation)?,"The starting point is that we assist Client  during the implementation and migration as much as possible and that everything runs smoothly. Client  must be able to continue to focus fully on the core activity, namely production and for the temporary workers, only the logo above the salary slip must change and the rest must remain the same. What we expect from Client , is to terminate the collaboration with the previous party, supply the documentation to the party and initiate a meeting for a smooth transition. Gi Group also provides Client  with a complete package, including all documentation for the releasing party, information sheets, FAQ, presentations for the kick-off meetings and information sessions with temporary workers, but also action and decision lists, etc. are ready to use. Thanks to our extensive experience with implementations and migrations of groups of temps to hundreds of temporary workers, this is in good hands with Gi Group. That is a promise."
19,Have you managed any of your clients  as the Master Vendor or Managed Service Provider?,"Yes, we have experience in working with a Master Vendor construction, but not as the Master. However, we work for over a year together with Agile1 on the Merck Sharp & Dome account. Gi Group provides the contracts for perm, temp, freelance and payroll for Merck Sharp & Dome account where Agile1 is the neutral MSP. We also work in other multi-vendor structures with other competitors, based on a fixed market share, where we divided the Master Vendor activities among the preferred suppliers, based on the strenght per supplier. Also, for Client  we can adjust our service to get the best working solution. Whether that will be a vendor preferred structure (what we now see as the best solution for The Netherlands) or any other service model."
20,"Indicate the number of years for each service level your company has been providing Temporary Labor Services as an MSP provider, Vendor Neutral,  Vendor Preferred, Master Vendor, others?  Please provide a detailed list of all the clients where you are providing each of the said services?",Simei: we work as vendor preferred for Simei since 2019 \nMSD: since 2020 we work as vendor preferred for MSD for VMS Agile1\nB&S: vendor preferred since 2017
21,"Do you currently manage a VMS technology, if yes which one(s)?  Are any in-house developed or 3rd party software?  Does the VMS technology support multiple languages?","Pixid,  Accelaration VMS Agile 1, Careerix for Koramic2Engage. MySolution Software\nAll programs support multiple languages."
22,Do you have any experience with Vendor Management Software?,"Yes, we manage through our software MySolution multiple apps to source candidates. The benefits this offers are speed, intelligent data and reporting so we can continuously improve the sourcing. The software from MySolution can be integrated with any system on demand."
23,Could you give some more information about the IT system you use?,"A lot of investment is made over the last years in MySolution software. It monitors and meassures the input from which channels are qualified and outstandig employees come from. Business cases, AB testing and data analysis, are developed by the adjustment of tools that are the most efficient. Gi Group continues to adjust the software to the needs to serve our clients in the best possible way. All our tooling, the provides in an end-to-end candidate/client journey,  are imbedded in our central front-, mid- and backoffice. Mysolution on the SalesForce platform, so we can analize and report all data very easily."
24,Could you elaborate on your fullfilment and respons times?,"If there are no specific qualifications required, we can fulfill the frontline position within 2 business days. Assignments for frontline with certificate or diploma's will be more difficult to fulfill within 2 business days. White-collar assignments can be fulfilled within 7 business days. Because of our central planning and the central recruimtment department, we can fulfill the assignments rapidly. If needed, we will put extra effort into recruitment, so the dedicated recruiters will receive help from their collegues. We are willing to give away 0,01% on turnover for not filling assigments on time."
25,How do you manage your temporary worker's accrued benefits?,"Our software tracks the accured benefits by our temporary workes automatically, based on their hourly gross salary. If they use the benefits, it will be adjusted automatically in the system."
26,"Cost containment and YOY productivity is a business imperative, please explain what are the different levers you will use to fulfill this business requirement?","We will fulfill the business requirements first of all by tracking all our processes. Also, we will conduct many evaluations in order to find the right employee. This way, the costs but also the productivity will increase. Nevertheless, we will make use of SMART planning. There will be multiple available employees and several competences for the different profiles. This way, they can work on different profiles instead of only one profile. More continuity will also be implemented. Lastly, we will closely cooperate with the client on evaluation, productivity and planning in order to together see what is going well and what could be improved."
27,"As part of your recruitment process, does your company offer an employee referral bonus?","Yes, sometimes with difficult profiles or areas we do offer refferal bonuses to find the right candidates. Our current employees receive a bonus, for instance a gift card, after someone they recommended has worked a certain amount of hours at Gi Group."
28,Please explain the process of how you will manage shared assignments and temporary workers engaged in other clients' projects.,"It is very important to us that our workers have an equal work-rest balance. We implement a number of activities in order to make sure our workers do not make too many hours. For instance, our planningtool blocks itself if too many hours are being processed. Nevertheless, the care taker regulary checks on the personal health of the workers. Also, all legislations are integrated in our planning system so there will not be any misunderstandings about those legislations."
29,Could you describe the worksplit around accountmanagement and operational management?,"For the The Netherlands, the account management will be conducted by the national Accountmanager, Operational Manager and the Onsite Consultant. The accountmanager is responsible for communicating on a tactical and strategic level with the client and making sure the cooperation will go smoothly. The Operational Manager is the backbone of the onsite consultants and makes sure that everything onsite goes well. The daily consultant is the direct contact person of the client but also of the temporary workers. If there are questions or other points to dicuss, the daily consultant is the go to person."
30,Could you describe the team for the Client?,"Recruiter\nRecruitment is responsible for finding and establishing a match between the candidate and the vacancy. Wants and needs need to be fulfilled from both perspectives, since both parties will develop from this on the long run. This starts with the beginning of the search via different media channels, where we approach candidates by email or phone to tell them about the vacancy. During this conversation, we discuss for instance general company information, employment conditions and starting date. When the candidate shows interest, the administration starts. We process all intake notes in our ATS. After, the consultant plans a second interview with the candidate. Finally, the candidate will be introduced to the client and with the agreement of the client, the candidate can start working. \nBackoffice (CPA)\nWe as CPA are the core of the company. We make sure that all hours are correctly processed in the system and that the candidates receive their payments on time. We check and send the contracts and have a lot of contact with the candidates about different topics. We are available for every question, including questions regarding the hours, contracts but also general questions. We are attainable from Monday till Friday from 9 AM till 5 PM. We keep track of everything regarding expiring contracts/ extension of contracts, sickness registration and payment, signing contracts, sharing information with (new) candidates, are the worked hours processed on time and so on. \nSales Manager \nWith over 10 years of experience in the field of HR Businesses, a Sales Manager at Gi Group Holding is a professional. The Sales Manager gives advice to clients about the possible solution, Temp and Perm, Search and Selection and other HR related cases. Besides, the Sales Manager is Master educated and a senior in creating and keeping relationships with all levels of clients. Nevertheless, he or she is well known with legislation and good in calculating, to make the best possible offers and determine the right terms for the contracts. \nATS Specialist\nOur ATS specialist his main purpose is developing, implementing and maintaining the internal ATS systems, Salesforce and Business Central. Besides those three activities is the user support also an important task. With every new system functionality, our ATS specialist makes sure that the right documents are available for the users to optimally use the system. Furthermore, our specialist is also the advisor when there is a modification in de process. By making use of his knowledge about the system, he gives advice on how the users can achieve the desired goals. In conclusion, it is a multidimensional function that creates the connection between the system and its users. \nConsultant\nWithin Gi Group the Consultant is the central point for communication between the client, the temporary worker and our company when it comes to the daily business. The Consultant has several years of experience in managing temporary workers. The Consultant is the single point of contact for all departments of the client. He or she makes sure the questions and answers go to the right person. \nOperations Manager\nWith over 8 years of experience, the Operations Manager is the strategic partner of the client. The Operations Manager is responsible for all operational teams within Gi Group. She will be present at the quarterly and yearly reviews to review and improve the partnership between Gi Group and the client. Also, the Operations Manager acts as an escalation point.\nPool Coordinator \nThe Pool Coordinator is responsible for the most efficient planning for us and the client. This department makes sure the right person is at the right place on the right time. This department has years of experience in planning NL-flex and EU-flex. The Pool Coordinator is also responsible for the talentpool when it comes to people from abroad. He or she is always looking for the best possible options when it comes to planning, short-term and long-term."
31,What is the training budget of your company?,"For the flexworkers at Client, Gi Group invests a maximum of 1.02% of the gross wages of the flexworkers who work in phase A. Together we would like to see how we can use this training budget in such a way that it offers maximum added value for flex workers and Client, of course this varies per profile.\nSome examples where the trainings budget is used for:\n• Forklift / reach truck certificate\n• Industry certificate Customer Care\n• Commercial training\n• HACCP training (food environment)\n• Language course"
32,"How do you benchmark your employee’s subject matter expertise and knowledge of federal, state, provinces and local laws, rules, regulations applicable to temporary labor services?","All employees of Gi Group are experts in their workfield due to extensive training, schooling and experience. Most of the consultants and administration employees have their SEU certificate (which covers all temp and overall labor legislation), and are keeping up with the changes in legislation. Br. Our Country Manager is part of the ABU comittee, which is the confedaration for temp agencies in The Netherlands. Gi Group is a member of the ABU and Vereninging detacheren NL. \nGi Group is also being advised by consultancy partner Mazars and legal partner Advocaten van Nu. Besides, we have an attorney who is specialized in temp labor."
33,"How do you provide proactive advisory to your clients on any changes to existing regulations and new regulations which could impact the business in acquiring temporary labor such as changes to paid sick time, minimum wage increases, OSHA, COVID-19, etc.","We provide at every operational or strategic evaluation moment with Client  proactive advisory about changing regulations. If the changes require immediate action, we will send an email or otherwise communicate immidiately."
34,"Are there any pending plans for merger, acquisition (staffing suppliers, technology) or business expansion (new branch offices) in the next 12 months?","In 2020, Gi Group Netherlands started a cooperation with MySolution Software and Intelligence Group. \nIn 2021, Gi Group started the expansion of a branch network to deliver temping services and permanent recruitment for small and medium sized clients.\nOver the last 22 years, Gi Group Holding International has done over 50 mergers and acquisitions. In The Netherlands, we are also in the exploratory phase for an acquisition."
35,"What program structure(s) do you recommend for Client  to fill both Professional (white-collar) and Frontline (blue-collar) assignments in Europe?  Please provide all the possible structures we are looking for out of the box thinking, creative ways to source quality temporary labor while achieving on-time fill rates.","We can service all program structures, which are; Grafton, Move-Up, SMS and External suppliers. Grafton is our professional brand and expert in the Search & Selection of white-collar profiles. For the blue-collar assignment, we have our services Move-Up and SMS. We deliver blue-collar employees from the local labor market and cross border solutions. Because of the mix between those recruitment possibilities, we will deliver the best possible service. We always work onsite. Where traditional agencies often operate from branches, our Consultants always work from a customer location and hereby partly fill in for Client . They are an extension of Client  and because of the (part-time) On-site presence, they know exactly what is going on in the operation and with our flex workers. We are physically present onsite for more hours than the standard at temporary employment agencies and are convinced that this is the only right way to achieve maximum retention and performance. In our opinion, the onsite model is the only way to properly implement the HR partnership that Client  aspires to have. The close interdependence between the organizations in the deployment of a large group of flex workers based on temporary employment in a so-called triangular employment relationship, combined with the requirements and wishes with regard to service provision from Client , means that regular but efficient communication is the only key to success. The Corona pandemic has taught the world to adapt to more remote communication through channels like; Microsoft Teams, Zoom, Skype for Business, etc. What has also become clear is that personal physical contact on the work floor is indispensable to strengthen a relationship and to find  creative solutions together."
36,How does your onsite service model works? Also take in considoration the covid pandamic in the answer.,"Where traditional agencies often operate from branches, our Consultants always work from a customer location and hereby partly fill in for Client . They are an extension of Client  and because of the (part-time) On-site presence, they know exactly what is going on in the operation and with our flex workers. We are physically present onsite for more hours than the standard at temporary employment agencies and are convinced that this is the only right way to achieve maximum retention and performance.In our opinion, the onsite model is the only way to properly implement the HR partnership that Client  aspires to have. Gi Group therefore does not have a branch network and is always on-site with its customers, whereby the on-site presence is linked to the hours per week. The close interdependence between the two organizations in the deployment of a large group of flex workers based on temporary employment in a so-called triangular employment relationship, combined with the requirements and wishes with regard to service provision from Client , means that regular but efficient communication is the only key to success. The Corona pandemic has taught the world to adapt to more remote communication through channels like; Microsoft Teams, Zoom, Skype for Business, etc. What has also become clear is that personal physical contact on the work floor is indispensable to strengthen a relationship and to find creative solutions together."
37,Could you explain how the Dutch regulations are around anti-criminal statements for temporary workers?,"In The Netherlands, it is common to provide a VOG. If this is required by Client , Gi Group will request the VOG for the flex worker in the system of Justice. After the request has been made, the flex worker has to log in with his personal user name and password and pay for the VOG. The flex worker can send prove of payment to Gi Group after working full-time for 4 weeks. The payment of the VOG will be paid back to the flex worker. Medical checks are controversial in NL, definetely not common. And Drugs screenings are not allowed in The Netherlands."
38,"Could you describe the operational proces around temporary worker, around sickness due to an accident?","We would let the temporary worker fill in an accident form. Client  will be held responsible because it is responsible for the management and supervision. Gi Group saves the form and contacts the temporary worker. The registration of absence or sickness will go through Acture, our partner where we outsourced sickness management, they are taking over the contact and payment if someone is sick or not able to work anymore. Acture also coordinates the process in case of long-lasting sickness or occupational disability, especailly when there is a ""Arbo"" Doctor involved. After, the temporary worker will receive its sickness payment and enough medical attention to make sure the worker receives the care he or she needs. In case of an EU flex worker, Gi Group can make an appointment with a doctor and make sure the worker receives guidence from the care taker."
39,"Please explain the process of how you will manage transitioned assignments and temporary workers from another supplier.  How do you validate if the temporary worker has earned any vacation time, holiday pay time and other benefits.  How will you ensure the temporary worker is not impacted and does not lose any of the benefits earned with their existing employer by transitioning to our program?","The process of migrating temp workers from another party is described later in the sheet ""implementation plan"". \nThe vacation time, holiday money and other reservations made by the temp at the losing party, have to be paid by the loosing party directly to the temp."
40,"Could you describe the topics cover during an account review with a large, global account pertaining to the services outlined in this RFP?","We describe the following information during an account review; points of evaluation, performance, partnership, plans, forecast, adjustments in contracts, company, all levels of cooperation, hick-ups, other suppliers, evaluation of KPI's, problems that occur, how to prevent future problems, etc."
41,Please provide the performance business standards you measure for temporary labor services?  How often are these business standards reviewed and by whom?,"We measure the following business standards; Time to fill compliance, First time quality, Fulfillment ratio, Turnover, Sickness rate, Invoice accuracy, No Shows, Failure to start, Payment terms. These standars are monthly reviewed by Sales Manager and Operational Manager together with The On Site Consultant(s). We prefer to also discuss the standards together with our client on Monthly base."
42,Describe your company's quality assurance program?,"In The Netherlands we are certified  NEN 44001-SNA, SNF certified for housing of cross-border workers and are a full member of the ABU since 2017."
43,Describe how your organization measures customer satisfaction. what actions are taken when your customer satisfaction and service quality goals are not achieved.,"Our organization measures customer satisfaction and service quality by customer evaluation, which allows us to draw a picture of how the customer experiences our service. Also, we plan periodic consultations with the client to discuss what is going well and what needs improvement. We think it is important to search for the exact cause of the problem, in order to solve this problem and thereafter look for possible solutions. We will also measure the KPI's through our system MySolution, which can make realtime reports on a very detailed level."
44,What percentage of your fees are you willing to put at risk to support the Performance Guarantees described above?,"We will determine a ratio and clear definition for every KPI. If we cannot service Client  according to this ratio, we are willing to give a compensation in a penalty/bonus scheme that need to be determined in a later stage."
45,As part of servicing the account can you provide fork lift training and certification? .,"Yes, we work with different suppliers who can provide, among others, fork lift training and certificates. The supplier we mainly work with is BLOM. They have many sites in The Netherlands and can plan on short-term trainings. If a temp worker wants or needs a certificate, we will first make an inventory of the current experience level. After, we will plan the training according to the workers schedule, training can be conducted in week- or weekend days. We will ask the trainee to sign a contract for the costst of the training. If the trainee quits the job, they will have to pay an amount back to us, this amount will lower after more hours worked through Gi Group. Mostly we will train and certify them at BLOM https://www.blomopleidingen.nl/heftruck/"
46,How do you retain resources that have been forklift certified?,"There are many aspects we focus on, in order to retain our resources. First, it is important to provide the resources a clear planning and a fulltime schedule. They should work as many hours as possible, so the more the better. Second, they must be paid an equal and fair amount. Nevertheless, we must ensure the payments are paid on time without a delay. Last but not least; we reall take care of our workers, by walking the extra mile for them. Those are the main reasons for ceritified workers to keep working with us. If we keep the workers satisfied, they will not leave our company."
47,24/7 temporary labor fulfillment and customer service support is critical to ensure continuity of services.  Are you able to provide this service?,"Through our systems, which are all connected with each other, we are able to provide 24/7 support. In this process, Client  and flex workers are connected by the portals that we make available to customers and flex workers. Communication between the portals is supported by Mysolution, our HR software, and coordinated by our planning system. In order to achieve maximum results on replacement issues, our advice is to introduce a reward system in which the flex worker is the stakeholder. We work in shifted shifts with our Flexpool Coordinators between 6 AM and 10 PM 7 days a week and offer 1st line self-support as an IT solution between 10 PM and 6 AM. \n \nThe self-support functionality fulfills the replacement demand, by automatically sending a message to the reserve pool of candidates, allowing the available flex workers to schedule themselves to take over the shift. Thanks to this automated smart tool, any other candidate who has responded as well, will be unsubscribed and the service will be confirmed to the flex worker who responded the fastest. The remuneration system rewards the most flexible flex workers. A lot is possible in terms of reward, but we would like to coordinate this personally with Client . During the week, our Onsite Consultants work normally in between office hours, so from 08:30 AM - 5 PM. but if the customer's schedule makes it smarter to start the day structurally earlier, for example, we sometimes choose shifted shifts.\nOutside the working hours during the week of the on-site operation, other solutions can also be devised to meet the replacement demand. An example of an alternative solution is: Daily up-to-date reserve pool in Mysolution with stand-in workers, which is managed by a senior flex worker or a Client  team leader, who approaches the candidates by phone. An advantage of this can be the personal contact and also the approach of specific candidates first."
48,How will you ensure that Client  is only billed for hours worked?,"We propose the clock system to implement Nedap's PEP Flex. Flex workers clock in and out with their personal PEP Reader. PEP registers the clocked hours of the flex workers. The hours are approved by those responsible and then go to the salary package in Mysolution and Gi Group, that can process the hours for invoicing. The PEP system also keeps track of the contract hours and leave balances. This is always clear to those involved. Clocking in on the PEP Readers is possible upon arrival, but can also be done for example by cost center, line or activity. The readers are equipped with a battery and make contact with one PEP gateway that collects all information and sends it to the PEP software. The collection and forwarding is done via the GPRS network by means of a SIM card that is built into the gateway. This will give you a lot of information about how much and how long work has been carried out to cost center / activity level.\nIn addition, the supervisor has the option to view all hours worked in the current and previous weeks by the employee. The hours and entitlements accrued are also transparent. Both the accrued hours / entitlements and hours worked and allowances are transparent to the employee. It is possible for the manager to make a total overview of the hours worked and to export this. PEP Flex is already linked to Mysolution, so that we can digitally input the hours via an interface. As a result, we reduce the error margins and we can see in real time who is clocked in, which makes attendance checks a lot easier. Running reports is also easy. \n\nThe costs for the implementation and use of PEP Flex are 0,07 euros per worked hour. These are the costs the company invoices to us."
49,What is your incentive/reward program to recruit workers during peak season?,"During peak season, we use extra resources to support the recruitment of the required high amounts of temporary workers:\n\n• We use referral as a recruitment channel. We award our candidates with incentives in the form of value coupons during our tell-a-friend referral recruitment actions;\n• Gi Group can also pay the temporary workers who stay on-board until the end of the peak season, a retention fee of €250, -. Gi Group will pay out this fee to the temporary workers and will charge the Client only a net retention fee;\n• Extra Pull actions and media, based on customized marketing campaigns;\n• Focus on students as this population is willing to work only for a short period of time, fast deployable and flexible so therefore perfect candidates for short peak periods."
50,Describe the training programs you offer your temporary employees?,"Our goal is to strongly increase the quality of the new temporary worker using a thorough selection process, efficient training and a specific integration. As a standard, we provide basic courses for logistics (safety, HACCP, reach truck driver, forklift driver, warehousing, etc.) and develop user-specific trainings on request.  \n\nGi Group reserves 1,02% for training, schooling and education purposes for the benefit of the temporary workers assigned at the Client. Gi Group can use this for all job applicable trainings. If a temporary worker has taken one course, he or she goes back to zero worked hours in this counting system.\n\nExample of a training plan, we developed for another logistic client:\n• LOI English for starters / 350 hours\n• Forklift beginner (2 days) / 600 hours\n• Forklift advanced (1 day) / 400 hours\n• Forklift repeat 200 hours\n• Reach forklift beginner (2 days) / 600 hours\n• Reach forklift advanced (1 day) / 400 hours\n• Reach forklift repeat / 200 hours\n• BHV / 400 hours"
51,Please detail strategy for supplying adapted quality and quantity in highly competitive areas.,"In this scares labour market and competitive economic environment, we will analyse the 'total package' of each job profile with Client. We will compare elements like; salary, recognition, extra allowances, working environment, perspective to enter into a direct employment/contract, company parties, Christmas gifts etc. with the competitors of Client in the area. We also analyse the availability of target groups in the area like; fulltime workers, part-time workers, students, house mothers/fathers, above pension age workers etc.\n\nAfter this phase, we define an unique and most successful package together with Client and use this for employer branding campaign and job advertisement. We deploy specialists if required in order to define the message and communication platforms with you. We also define the best suitable mix of recruitment channels in this specific area of the Client site (online and offline). In co-creation with Client we make a SWOT-analysis, in which the key points relating to; ""Why candidates like to work at Client"" have been processed. We compare the SWOT analysis with a (local) competition analysis, after which we determine together what strengths we use in the labour market communication and which channels are suitable. In doing so, we always keep the costs vs. the expected result in the back of our mind.\n\nFrom our perspective, employer branding can only be realized if the internal organization supports this image and if there is commitment at all levels; before and during the execution."
